iter	Passed	Remaining
786	3915	11010
787	3918	11001
788	3924	10998
789	3927	10987
790	3929	10974
791	3932	10963
792	3938	10960
793	3941	10949
794	3945	10943
795	3951	10940
796	3953	10928
797	3956	10918
798	3973	10946
799	3977	10939
800	3982	10933
801	3986	10925
802	3989	10914
803	3991	10901
804	3993	10890
805	3998	10883
806	4020	10925
807	4024	10917
808	4027	10906
809	4031	10899
810	4044	10916
811	4047	10907
812	4050	10896
813	4054	10888
814	4056	10876
815	4063	10876
816	4067	10869
817	4070	10857
818	4072	10844
819	4074	10832
820	4084	10839
821	4087	10830
822	4096	10836
823	4099	10826
824	4104	10820
825	4109	10815
826	4113	10808
827	4119	10806
828	4124	10801
829	4137	10818
830	4141	10809
831	4145	10803
832	4149	10794
833	4152	10784
834	4155	10773
835	4158	10763
836	4160	10751
837	4163	10742
838	4166	10731
839	4177	10742
840	4184	10742
841	4189	10738
842	4192	10728
843	4197	10721
844	4199	10711
845	4202	10700
846	4219	10726
847	4222	10716
848	4227	10709
849	4230	10700
850	4235	10694
851	4238	10686
852	4241	10677
853	4245	10667
854	4249	10661
855	4251	10648
856	4254	10638
857	4258	10631
858	4263	10627
859	4266	10616
860	4269	10605
861	4272	10597
862	4277	10591
863	4280	10582
864	4283	10571
865	4286	10563
866	4288	10551
867	4291	10541
868	4294	10530
869	4296	10519
870	4299	10508
871	4302	10498
872	4308	10496
873	4311	10488
874	4313	10476
875	4317	10467
876	4320	10458
877	4323	10450
878	4326	10439
879	4329	10430
880	4332	10421
881	4336	10412
882	4339	10404
883	4342	10395
884	4347	10389
885	4350	10379
886	4352	10368
887	4355	10358
888	4357	10347
889	4361	10341
890	4386	10382
891	4391	10377
892	4397	10375
893	4403	10373
894	4407	10367
895	4414	10365
896	4418	10360
897	4423	10353
898	4428	10349
899	4431	10340
900	4434	10331
901	4439	10325
902	4451	10337
903	4454	10327
904	4456	10316
905	4459	10307
906	4462	10297
907	4464	10286
908	4467	10277
909	4470	10267
910	4474	10259
911	4482	10263
912	4485	10253
913	4490	10247
914	4494	10241
915	4499	10237
916	4502	10227
917	4505	10217
918	4508	10209
919	4512	10202
920	4516	10196
921	4519	10186
922	4523	10179
923	4526	10170
924	4531	10166
925	4535	10158
926	4540	10153
927	4546	10150
928	4550	10145
929	4554	10138
930	4557	10129
931	4560	10119
932	4564	10112
933	4569	10107
934	4573	10099
935	4598	10139
936	4601	10130
937	4606	10125
938	4611	10121
939	4617	10120
940	4628	10126
941	4631	10118
942	4636	10114
943	4642	10111
944	4658	10131
945	4661	10121
946	4667	10119
947	4673	10116
948	4677	10109
949	4682	10104
950	4685	10095
951	4688	10086
952	4694	10084
953	4697	10075
954	4703	10072
955	4706	10062
956	4711	10057
957	4713	10046
958	4715	10035
959	4718	10026
960	4720	10016
961	4723	10007
962	4725	9996
963	4728	9986
964	4732	9979
965	4735	9971
966	4737	9960
967	4741	9953
968	4744	9945
969	4758	9959
970	4761	9950
971	4766	9944
972	4768	9934
973	4773	9929
974	4776	9921
975	4781	9916
976	4785	9909
977	4788	9900
978	4791	9891
979	4794	9881
980	4796	9872
981	4800	9864
982	4819	9890
983	4824	9885
984	4830	9881
985	4833	9873
986	4837	9865
987	4841	9860
988	4846	9855
989	4849	9846
990	4852	9837
991	4856	9831
992	4860	9824
993	4863	9814
994	4865	9805
995	4870	9800
996	4876	9797
997	4879	9787
998	4882	9779
999	4884	9769
1000	4888	9762
1001	4891	9753
1002	4894	9744
1003	4897	9736
1004	4904	9736
1005	4908	9729
1006	4911	9720
1007	4914	9712
1008	4920	9709
1009	4925	9704
1010	4928	9696
1011	4931	9688
1012	4936	9682
1013	4940	9676
1014	4943	9668
1015	4947	9661
1016	4953	9658
1017	4956	9649
1018	4958	9640
1019	4962	9633
1020	4976	9645
1021	4979	9636
1022	4983	9630
1023	4988	9625
1024	4991	9618
1025	4993	9607
1026	4997	9599
1027	5000	9593
1028	5003	9584
1029	5007	9577
1030	5010	9568
1031	5013	9560
1032	5021	9561
1033	5036	9575
1034	5041	9571
1035	5044	9563
1036	5047	9553
1037	5049	9544
1038	5052	9536
1039	5056	9529
1040	5059	9520
1041	5064	9516
1042	5068	9510
1043	5074	9507
1044	5094	9530
1045	5098	9524
1046	5107	9526
1047	5124	9545
1048	5127	9536
1049	5131	9529
1050	5137	9527
1051	5142	9522
1052	5152	9527
1053	5155	9518
1054	5173	9537
1055	5184	9544
1056	5187	9536
1057	5189	9526
1058	5192	9516
1059	5194	9507
1060	5198	9500
1061	5201	9492
1062	5205	9484
1063	5209	9478
1064	5211	9469
1065	5215	9462
1066	5217	9453
1067	5220	9444
1068	5225	9439
1069	5227	9429
1070	5230	9421
1071	5236	9418
1072	5242	9414
1073	5244	9405
1074	5247	9397
1075	5249	9387
1076	5252	9378
1077	5255	9369
1078	5257	9361
1079	5260	9352
1080	5263	9343
1081	5266	9335
1082	5272	9332
1083	5284	9340
1084	5288	9333
1085	5290	9325
1086	5295	9319
1087	5299	9313
1088	5303	9305
1089	5306	9299
1090	5312	9294
1091	5329	9312
1092	5332	9303
1093	5335	9295
1094	5340	9290
1095	5358	9308
1096	5360	9299
1097	5363	9290
1098	5366	9282
1099	5369	9274
1100	5373	9268
1101	5377	9261
1102	5381	9255
1103	5384	9247
1104	5387	9239
1105	5389	9230
1106	5393	9223
1107	5397	9216
1108	5401	9209
1109	5406	9204
1110	5408	9196
1111	5411	9187
1112	5414	9179
1113	5416	9170
1114	5418	9161
1115	5421	9152
1116	5423	9143
1117	5426	9134
1118	5429	9127
1119	5433	9120
1120	5436	9112
1121	5438	9103
1122	5441	9094
1123	5444	9087
1124	5448	9080
1125	5450	9071
1126	5453	9063
1127	5455	9054
1128	5459	9047
1129	5463	9040
1130	5473	9045
1131	5477	9038
1132	5479	9029
1133	5481	9020
1134	5484	9011
1135	5489	9007
1136	5492	8999
1137	5496	8993
1138	5499	8985
1139	5505	8981
1140	5510	8978
1141	5513	8970
1142	5516	8963
1143	5520	8956
1144	5524	8950
1145	5529	8946
1146	5534	8941
1147	5537	8933
1148	5540	8925
1149	5542	8916
1150	5546	8910
1151	5549	8901
1152	5554	8897
1153	5557	8890
1154	5564	8888
1155	5571	8887
1156	5575	8881
1157	5580	8877
1158	5584	8870
1159	5586	8861
1160	5589	8853
1161	5593	8846
1162	5598	8843
1163	5602	8837
1164	5607	8831
1165	5609	8823
1166	5612	8815
1167	5616	8809
1168	5620	8803
1169	5624	8796
1170	5626	8788
1171	5630	8781
1172	5633	8774
1173	5640	8772
1174	5648	8772
1175	5651	8765
1176	5656	8760
1177	5660	8755
1178	5664	8748
1179	5669	8743
1180	5679	8748
1181	5683	8741
1182	5686	8733
1183	5691	8729
1184	5693	8720
1185	5696	8713
1186	5699	8705
1187	5704	8701
1188	5708	8694
1189	5720	8700
1190	5723	8693
1191	5727	8686
1192	5730	8679
1193	5737	8677
1194	5740	8670
1195	5746	8668
1196	5750	8661
1197	5754	8656
1198	5760	8652
1199	5762	8644
1200	5769	8642
1201	5780	8646
1202	5783	8639
1203	5787	8633
1204	5792	8628
1205	5794	8620
1206	5797	8612
1207	5801	8605
1208	5804	8598
1209	5810	8595
1210	5816	8592
1211	5819	8585
1212	5822	8577
1213	5830	8577
1214	5834	8572
1215	5842	8572
1216	5847	8566
1217	5854	8565
1218	5859	8560
1219	5864	8556
1220	5870	8553
1221	5873	8546
1222	5877	8540
1223	5882	8534
1224	5884	8527
1225	5888	8519
1226	5891	8512
1227	5893	8504
1228	5896	8497
1229	5900	8491
1230	5903	8483
1231	5906	8476
1232	5929	8497
1233	5936	8495
1234	5940	8490
1235	5945	8484
1236	5949	8479
1237	5952	8471
1238	5956	8466
1239	5963	8465
1240	5971	8463
1241	5974	8456
1242	5978	8450
1243	5981	8443
1244	5985	8436
1245	5989	8430
1246	5992	8423
1247	6002	8426
1248	6004	8418
1249	6008	8411
1250	6012	8405
1251	6020	8405
1252	6023	8398
1253	6032	8399
1254	6036	8393
1255	6041	8388
1256	6045	8382
1257	6050	8378
1258	6064	8385
1259	6070	8382
1260	6088	8396
1261	6093	8391
1262	6098	8386
1263	6117	8401
1264	6123	8398
1265	6126	8391
1266	6132	8387
1267	6137	8383
1268	6140	8376
1269	6143	8368
1270	6146	8361
1271	6148	8353
1272	6151	8345
1273	6160	8345
1274	6165	8341
1275	6169	8335
1276	6188	8350
1277	6195	8347
1278	6203	8347
1279	6207	8340
1280	6209	8333
1281	6212	8325
1282	6218	8321
1283	6220	8313
1284	6223	8306
1285	6231	8305
1286	6234	8298
1287	6237	8290
1288	6240	8283
1289	6243	8276
1290	6247	8270
1291	6251	8264
1292	6254	8256
1293	6259	8252
1294	6265	8248
1295	6267	8240
1296	6270	8233
1297	6272	8225
1298	6276	8218
1299	6279	8211
1300	6281	8203
1301	6284	8195
1302	6286	8188
1303	6289	8180
1304	6294	8175
1305	6297	8168
1306	6299	8159
1307	6317	8171
1308	6319	8163
1309	6323	8157
1310	6332	8158
1311	6335	8151
1312	6338	8143
1313	6340	8135
1314	6342	8126
1315	6343	8117
1316	6345	8108
1317	6348	8102
1318	6351	8094
1319	6353	8085
1320	6357	8080
1321	6361	8074
1322	6366	8069
1323	6369	8062
1324	6373	8056
1325	6375	8048
1326	6378	8041
1327	6382	8035
1328	6385	8028
1329	6388	8022
1330	6392	8016
1331	6395	8009
1332	6399	8002
1333	6403	7996
1334	6406	7990
1335	6409	7983
1336	6413	7976
1337	6417	7971
1338	6419	7963
1339	6421	7954
1340	6434	7960
1341	6438	7954
1342	6449	7957
1343	6452	7950
1344	6457	7945
1345	6461	7939
1346	6465	7934
1347	6478	7938
1348	6480	7931
1349	6483	7924
1350	6486	7917
1351	6488	7909
1352	6508	7922
1353	6510	7914
1354	6513	7907
1355	6515	7899
1356	6518	7892
1357	6521	7885
1358	6524	7878
1359	6526	7870
1360	6530	7864
1361	6533	7857
1362	6551	7868
1363	6555	7862
1364	6558	7856
1365	6561	7848
1366	6563	7840
1367	6567	7834
1368	6583	7843
1369	6586	7836
1370	6589	7828
1371	6593	7823
1372	6595	7815
1373	6598	7808
1374	6601	7801
1375	6604	7795
1376	6610	7791
1377	6613	7785
1378	6616	7777
1379	6619	7771
1380	6622	7764
1381	6625	7757
1382	6627	7749
1383	6630	7742
1384	6634	7735
1385	6638	7730
1386	6640	7723
1387	6643	7715
1388	6646	7708
1389	6650	7702
1390	6653	7696
1391	6657	7690
1392	6659	7682
1393	6662	7675
1394	6665	7668
1395	6668	7662
1396	6673	7657
1397	6697	7675
1398	6701	7669
1399	6707	7665
1400	6711	7659
1401	6714	7652
1402	6726	7657
1403	6731	7651
1404	6741	7652
1405	6743	7645
1406	6746	7638
1407	6750	7632
1408	6753	7626
1409	6756	7618
1410	6758	7611
1411	6760	7603
1412	6762	7595
1413	6766	7589
1414	6784	7599
1415	6787	7592
1416	6790	7585
1417	6792	7577
1418	6794	7569
1419	6797	7562
1420	6800	7556
1421	6818	7566
1422	6820	7559
1423	6822	7551
1424	6825	7543
1425	6828	7537
1426	6831	7530
1427	6835	7525
1428	6840	7520
1429	6844	7514
1430	6847	7507
1431	6851	7502
1432	6854	7495
1433	6857	7488
1434	6860	7482
1435	6863	7475
1436	6866	7468
1437	6869	7462
1438	6873	7456
1439	6880	7453
1440	6883	7446
1441	6886	7440
1442	6888	7432
1443	6903	7439
1444	6908	7433
1445	6910	7426
1446	6914	7421
1447	6918	7415
1448	6920	7407
1449	6923	7400
1450	6926	7393
1451	6928	7386
1452	6930	7378
1453	6933	7372
1454	6937	7366
1455	6941	7360
1456	6945	7355
1457	6948	7348
1458	6950	7341
1459	6952	7333
1460	6955	7326
1461	6958	7319
1462	6962	7314
1463	6966	7309
1464	6970	7303
1465	6974	7297
1466	6979	7293
1467	6983	7288
1468	6986	7280
1469	6988	7274
1470	6991	7266
1471	7003	7270
1472	7006	7263
1473	7010	7258
1474	7016	7254
1475	7018	7246
1476	7032	7251
1477	7034	7243
1478	7036	7236
1479	7038	7228
1480	7040	7221
1481	7044	7215
1482	7047	7208
1483	7050	7202
1484	7052	7194
1485	7054	7187
1486	7056	7179
1487	7057	7171
1488	7059	7163
1489	7061	7156
